LME,w,V,patch_rank,temp_gradient,temp_steepness,final_abundance,patch_id
22,0.5,0.01,0,0.01412439585,0.5820703506,8.19E-06,0
22,0.5,0.01,1,0.01412439585,0.5820703506,1.64E-05,1
22,0.5,0.01,2,0.01412439585,0.5820703506,2.21E-05,2
22,0.5,0.01,3,0.01412439585,0.5820703506,1.67E-05,3
22,0.5,0.01,4,0.01412439585,0.5820703506,8.72E-06,4
22,0.5,0.01,5,0.01412439585,0.5820703506,8.39E-06,5
22,0.5,0.01,6,0.01412439585,0.5820703506,4.46E-06,6
22,0.5,0.01,7,0.01412439585,0.5820703506,2.53E-06,7
22,0.5,0.01,8,0.01412439585,0.5820703506,2.37E-06,8
22,0.5,0.01,9,0.01412439585,0.5820703506,1.60E-06,9
22,0.5,0.01,9,0.01412439585,0.5820703506,1.60E-06,10
22,0.5,0.01,8,0.01412439585,0.5820703506,2.37E-06,11
22,0.5,0.01,7,0.01412439585,0.5820703506,2.53E-06,12
22,0.5,0.01,6,0.01412439585,0.5820703506,4.46E-06,13
22,0.5,0.01,5,0.01412439585,0.5820703506,8.39E-06,14
22,0.5,0.01,4,0.01412439585,0.5820703506,8.72E-06,15
22,0.5,0.01,3,0.01412439585,0.5820703506,1.67E-05,16
22,0.5,0.01,2,0.01412439585,0.5820703506,2.21E-05,17
22,0.5,0.01,1,0.01412439585,0.5820703506,1.64E-05,18
22,0.5,0.01,0,0.01412439585,0.5820703506,8.19E-06,19
22,0.5,0.0325,0,0.01412439585,0.5820703506,0.9000091001,0
22,0.5,0.0325,1,0.01412439585,0.5820703506,0.899775499,1
22,0.5,0.0325,2,0.01412439585,0.5820703506,0.849050009,2
22,0.5,0.0325,3,0.01412439585,0.5820703506,0.9000416394,3
22,0.5,0.0325,4,0.01412439585,0.5820703506,0.899978099,4
22,0.5,0.0325,5,0.01412439585,0.5820703506,0.9018824883,5
22,0.5,0.0325,6,0.01412439585,0.5820703506,0.9000812841,6
22,0.5,0.0325,7,0.01412439585,0.5820703506,0.9003626208,7
22,0.5,0.0325,8,0.01412439585,0.5820703506,0.9004783593,8
22,0.5,0.0325,9,0.01412439585,0.5820703506,0.9023309468,9
22,0.5,0.0325,9,0.01412439585,0.5820703506,0.9023309464,10
22,0.5,0.0325,8,0.01412439585,0.5820703506,0.9004783624,11
22,0.5,0.0325,7,0.01412439585,0.5820703506,0.900362631,12
22,0.5,0.0325,6,0.01412439585,0.5820703506,0.9000812916,13
22,0.5,0.0325,5,0.01412439585,0.5820703506,0.9018824754,14
22,0.5,0.0325,4,0.01412439585,0.5820703506,0.8999780992,15
22,0.5,0.0325,3,0.01412439585,0.5820703506,0.9000416449,16
22,0.5,0.0325,2,0.01412439585,0.5820703506,0.8490500069,17
22,0.5,0.0325,1,0.01412439585,0.5820703506,0.8997754991,18
22,0.5,0.0325,0,0.01412439585,0.5820703506,0.9000090972,19
22,0.5,0.055,0,0.01412439585,0.5820703506,0.9249670647,0
22,0.5,0.055,1,0.01412439585,0.5820703506,0.8809774163,1
22,0.5,0.055,2,0.01412439585,0.5820703506,0.8624758667,2
22,0.5,0.055,3,0.01412439585,0.5820703506,0.9249903537,3
22,0.5,0.055,4,0.01412439585,0.5820703506,0.8809402926,4
22,0.5,0.055,5,0.01412439585,0.5820703506,0.8808318875,5
22,0.5,0.055,6,0.01412439585,0.5820703506,0.8812539983,6
22,0.5,0.055,7,0.01412439585,0.5820703506,0.9254607116,7
22,0.5,0.055,8,0.01412439585,0.5820703506,0.8822122012,8
22,0.5,0.055,9,0.01412439585,0.5820703506,0.8812082961,9
22,0.5,0.055,9,0.01412439585,0.5820703506,0.881208293,10
22,0.5,0.055,8,0.01412439585,0.5820703506,0.8822121824,11
22,0.5,0.055,7,0.01412439585,0.5820703506,0.9254607151,12
22,0.5,0.055,6,0.01412439585,0.5820703506,0.8812539887,13
22,0.5,0.055,5,0.01412439585,0.5820703506,0.8808319057,14
22,0.5,0.055,4,0.01412439585,0.5820703506,0.8809403003,15
22,0.5,0.055,3,0.01412439585,0.5820703506,0.9249903511,16
22,0.5,0.055,2,0.01412439585,0.5820703506,0.8624758654,17
22,0.5,0.055,1,0.01412439585,0.5820703506,0.880977414,18
22,0.5,0.055,0,0.01412439585,0.5820703506,0.9249670667,19
22,0.5,0.0775,0,0.01412439585,0.5820703506,2.52E-06,0
22,0.5,0.0775,1,0.01412439585,0.5820703506,3.22E-06,1
22,0.5,0.0775,2,0.01412439585,0.5820703506,2.85E-05,2
22,0.5,0.0775,3,0.01412439585,0.5820703506,0.0002102731264,3
22,0.5,0.0775,4,0.01412439585,0.5820703506,0.00212971562,4
22,0.5,0.0775,5,0.01412439585,0.5820703506,0.01322638184,5
22,0.5,0.0775,6,0.01412439585,0.5820703506,0.1163002924,6
22,0.5,0.0775,7,0.01412439585,0.5820703506,0.334642432,7
22,0.5,0.0775,8,0.01412439585,0.5820703506,0.5371904924,8
22,0.5,0.0775,9,0.01412439585,0.5820703506,0.5581860293,9
22,0.5,0.0775,9,0.01412439585,0.5820703506,0.558186036,10
22,0.5,0.0775,8,0.01412439585,0.5820703506,0.5371904083,11
22,0.5,0.0775,7,0.01412439585,0.5820703506,0.3346420297,12
22,0.5,0.0775,6,0.01412439585,0.5820703506,0.1162999685,13
22,0.5,0.0775,5,0.01412439585,0.5820703506,0.01322634495,14
22,0.5,0.0775,4,0.01412439585,0.5820703506,0.002129708741,15
22,0.5,0.0775,3,0.01412439585,0.5820703506,0.000210272475,16
22,0.5,0.0775,2,0.01412439585,0.5820703506,2.85E-05,17
22,0.5,0.0775,1,0.01412439585,0.5820703506,3.22E-06,18
22,0.5,0.0775,0,0.01412439585,0.5820703506,2.52E-06,19
22,0.5,0.1,0,0.01412439585,0.5820703506,3.20E-06,0
22,0.5,0.1,1,0.01412439585,0.5820703506,6.41E-06,1
22,0.5,0.1,2,0.01412439585,0.5820703506,5.27E-06,2
22,0.5,0.1,3,0.01412439585,0.5820703506,1.48E-05,3
22,0.5,0.1,4,0.01412439585,0.5820703506,7.74E-06,4
22,0.5,0.1,5,0.01412439585,0.5820703506,1.76E-06,5
22,0.5,0.1,6,0.01412439585,0.5820703506,7.14E-06,6
22,0.5,0.1,7,0.01412439585,0.5820703506,4.33E-05,7
22,0.5,0.1,8,0.01412439585,0.5820703506,0.0002654068148,8
22,0.5,0.1,9,0.01412439585,0.5820703506,0.0009505768004,9
22,0.5,0.1,9,0.01412439585,0.5820703506,0.0009505768274,10
22,0.5,0.1,8,0.01412439585,0.5820703506,0.0002654067958,11
22,0.5,0.1,7,0.01412439585,0.5820703506,4.33E-05,12
22,0.5,0.1,6,0.01412439585,0.5820703506,7.14E-06,13
22,0.5,0.1,5,0.01412439585,0.5820703506,1.76E-06,14
22,0.5,0.1,4,0.01412439585,0.5820703506,7.74E-06,15
22,0.5,0.1,3,0.01412439585,0.5820703506,1.48E-05,16
22,0.5,0.1,2,0.01412439585,0.5820703506,5.27E-06,17
22,0.5,0.1,1,0.01412439585,0.5820703506,6.41E-06,18
22,0.5,0.1,0,0.01412439585,0.5820703506,3.20E-06,19
22,0.625,0.01,0,0.01412439585,0.5820703506,7.99E-06,0
22,0.625,0.01,1,0.01412439585,0.5820703506,7.61E-06,1
